,address,price
0,"11 MOLINE DR, Toronto, ON","$1,930,000"
1,"#UPPER -499 QUEEN ST E, Toronto, ON","$5,100"
2,"3 EDGEHILL RD, Toronto, ON","$6,495,000"
3,"932 OSSINGTON AVE, Toronto, ON","$5,500"
4,"#153 -25 VIKING LANE, Toronto, ON","$950,000"
5,"#410 -30 NELSON ST, Toronto, ON","$649,000"
6,"#1116 -215 QUEEN ST W, Toronto, ON","$489,990"
7,"#3208 -50 ORDNANCE ST, Toronto, ON","$399,900"
8,"#2501 -11 CHARLOTTE ST, Toronto, ON","$625,000"
9,"#TH9 -145 LONG BRANCH AVE, Toronto, ON","$848,000"
10,"118 WOODMOUNT AVE, Toronto, ON","$749,900"
11,"#603 -69 LYNN WILLIAMS ST, Toronto, ON","$622,000"
12,"702 MANNING AVE, Toronto, ON","$1,838,800"
13,"27 GRACEFIELD AVE, Toronto, ON","$1,100,000"
14,"#505 -2154 DUNDAS ST W, Toronto, ON","$730,000"
15,"#331 -80 MARINE PARADE DR, Toronto, ON","$565,000"
16,"#2511 -197 YONGE ST, Toronto, ON","$751,800"
17,"#1710 -130 RIVER ST, Toronto, ON","$698,000"
18,"#4011 -763 BAY ST, Toronto, ON","$799,000"
19,"65 RUSHOLME PARK CRES, Toronto, ON","$2,099,900"
